,ganja_brightness
0,0.6367401028975735
1,0.7476012920026148
2,0.5371307996109094
3,0.5153516615004021
4,0.4929537863990459
5,0.307107501517981
6,0.32103847364009885
7,0.49146136375601973
8,0.49940873965524424
9,0.446733199521783
10,0.6253483963043902
11,0.5780543684468462
12,0.6099885175505749
13,0.5543545168277727
14,0.45940750723506946
15,0.38191797402730504
16,0.5330454783923989
17,0.3551082876122823
18,0.2777575218942387
19,0.47533495983039986
20,0.6654082805129551
21,0.5481359285837795
22,0.5194629287494303
23,0.5462456803186274
24,0.6269582850204535
25,0.7314638490654375
26,0.585947111196568
27,0.5432420108434853
28,0.5212353333683868
29,0.4316060348427257
30,0.5388565198329864
31,0.6430594067403819
32,0.6136768984296201
33,0.7538307102737221
34,0.733928661284786
35,0.6718366479098129
36,0.5345039110738579
37,0.47788539927374585
38,0.5314534977477113
39,0.5755724198649971
40,0.5996006919414117
41,0.4495389649618003
42,0.5186603126971522
43,0.5719344581962199
44,0.5305849025501359
45,0.554109232225773
46,0.6017350213981253
47,0.5584631540576313
48,0.6793082414803804
49,0.5748038526978441
50,0.6496647343613087
51,0.5883488109670598
52,0.7357849818921568
53,0.4360263186150714
54,0.49979840922974356
55,0.5705460472127373
56,0.6243632097246722
57,0.7293565212019781
58,0.7010430107015503
59,0.7245918107617919
60,0.4957505712835563
61,0.7221710638921128
62,0.5422920905974299
63,0.605080180893933
64,0.7730091033273372
65,0.7108500151620961
66,0.7373874158425174
67,0.7511689857673391
68,0.6550332290957267
69,0.6954635802568335
70,0.7301564506294214
71,0.6673302784934472
72,0.7190888845394448
73,0.7843950359896117
74,0.6706436285642144
